age,attrition,businesstravel,dailyrate,distancefromhome,education,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
51,no,,2015.72,6,3,1,1,M,3,5,research director,3,,16280.83,42330.17,7,no,13,3,3,full time,0,,5,3,20,15,15,1972,195370.0,yes
52,no,,2063.39,1,4,2,3,M,2,5,manager,3,,4492.84,43331.17,0,desconocido,14,3,1,,1,34,5,3,33,11,9,1971,199990.0,yes
42,no,travel_rarely,1984.25,4,2,3,3,M,3,5,manager,4,married,4492.84,41669.33,1,no,11,3,4,,0,22,3,,22,11,15,1981,192320.0,yes
47,no,travel_rarely,1771.4,2,4,4,1,F,3,4,research director,3,married,14307.5,37199.5,3,desconocido,19,3,2,full time,2,,2,,20,5,6,1976,171690.0,no
46,no,,1582.77,3,3,5,1,F,4,4,sales executive,1,divorced,12783.92,33238.2,2,no,12,3,4,,1,,5,3,19,2,8,1977,53914.11,no
48,no,,1771.92,22,3,6,4,F,3,4,manager,4,,14311.67,37210.33,3,no,11,3,2,,1,,3,3,22,4,7,1975,53914.11,yes
59,no,,1032.49,25,3,7,1,F,3,3,sales executive,1,,8339.32,21682.23,7,desconocido,11,3,4,part time,0,28,3,2,21,7,9,1964,100071.84,yes
42,no,travel_rarely,556.26,1,1,8,2,M,3,2,sales executive,3,married,4492.84,11681.39,1,no,25,4,3,part time,0,20,3,3,20,11,6,1981,53914.11,no
41,no,,1712.18,2,5,9,2,F,3,4,manager,1,married,13829.17,35955.83,7,no,16,3,2,full time,1,22,2,3,18,11,8,1982,165950.0,yes
41,no,travel_frequently,1973.98,9,3,10,1,M,3,5,research director,3,,15943.72,41453.67,2,no,17,3,2,,1,21,2,4,18,0,11,1982,53914.11,no
41,no,non-travel,2060.71,7,1,11,2,F,1,5,research director,3,,16644.17,43274.83,1,no,22,4,2,full time,2,,3,3,21,5,10,1982,199730.0,no
56,no,travel_rarely,1382.75,23,3,12,4,M,3,4,manufacturing director,2,married,4492.84,29037.67,4,yes,12,,1,full time,1,33,0,3,19,15,9,1967,134020.0,no
38,no,,1362.52,10,3,13,2,F,1,3,research director,3,married,4492.84,28613.0,3,no,12,3,1,full time,1,,3,3,18,1,11,1985,132060.0,yes
41,yes,travel_rarely,2016.55,12,3,14,2,F,3,5,research director,3,married,4492.84,42347.5,1,no,12,3,4,full time,0,,0,3,22,15,8,1982,195450.0,no
55,no,,1973.98,14,4,15,3,M,4,5,research director,2,single,15943.72,41453.67,8,no,11,3,4,,0,,3,3,24,2,15,1968,53914.11,yes
40,no,travel_rarely,1861.37,2,4,16,3,F,3,5,manager,3,,15034.17,39088.83,0,no,14,3,4,full time,0,,2,3,20,1,12,1983,180410.0,no
58,yes,travel_rarely,1985.7,2,4,17,4,M,3,5,research director,2,single,16038.33,41699.67,7,yes,12,3,4,full time,0,40,2,3,31,13,8,1965,192460.0,no
46,no,travel_rarely,1582.77,2,3,18,3,F,3,4,manager,1,,12783.92,33238.2,8,desconocido,23,4,1,,0,28,2,3,26,15,9,1977,53914.11,no
35,no,,556.26,13,5,19,2,M,4,2,research scientist,1,married,4492.84,11681.39,1,desconocido,11,3,4,,0,,2,3,16,1,10,1988,53914.11,no
40,no,travel_rarely,1032.49,15,3,20,1,F,2,3,manufacturing director,3,,8339.32,21682.23,1,desconocido,13,3,4,,2,18,2,,18,14,12,1983,53914.11,yes
45,no,non-travel,1108.92,1,1,21,3,M,2,3,healthcare representative,3,,8956.67,23287.33,3,desconocido,23,4,4,full time,1,25,3,2,23,14,4,1978,107480.0,no
33,no,,1032.49,1,2,22,1,F,3,3,research director,4,single,4492.84,21682.23,1,yes,12,3,3,part time,0,15,1,3,15,8,12,1990,100071.84,yes
36,no,,1032.49,8,3,23,3,F,3,3,healthcare representative,3,divorced,4492.84,21682.23,1,desconocido,13,,2,,3,17,2,3,17,12,8,1987,100071.84,yes
47,no,,1728.38,2,2,24,3,F,3,4,manager,4,married,4492.84,36296.0,1,desconocido,11,3,3,full time,1,,3,2,26,3,0,1976,167520.0,no
36,no,travel_rarely,639.79,42,2,25,42,M,3,2,sales executive,4,,5167.5,13435.5,1,desconocido,14,3,4,full time,1,18,1,,18,4,11,1987,62010.0,yes
35,no,,1032.49,9,3,26,4,F,2,3,manufacturing director,3,married,4492.84,21682.23,1,yes,20,4,2,part time,1,17,2,3,17,5,15,1988,100071.84,no
52,yes,,2047.5,2,1,27,1,F,1,5,manager,4,married,4492.84,42997.5,1,no,15,3,4,full time,1,33,3,3,32,6,9,1971,198450.0,yes
36,no,,556.26,2,4,28,3,F,3,2,manufacturing director,2,single,4492.84,11681.39,9,yes,11,3,4,,0,18,2,3,16,5,12,1987,53914.11,no
33,no,travel_rarely,556.26,28,4,29,2,M,3,2,laboratory technician,3,married,4492.84,11681.39,1,desconocido,12,3,2,part time,1,15,3,3,15,5,7,1990,53914.11,yes
34,no,non-travel,412.8,10,3,30,4,M,3,2,sales executive,3,,3334.17,8668.83,1,yes,14,3,3,part time,1,15,3,3,15,0,7,1989,40010.0,yes
41,no,,1077.87,37,1,31,37,F,3,3,sales executive,3,divorced,8705.83,22635.17,0,desconocido,13,3,4,full time,1,,3,4,22,13,5,1982,104470.0,yes
47,no,,1032.49,25,3,32,1,M,3,3,healthcare representative,3,,8339.32,21682.23,2,desconocido,23,4,2,,0,25,3,3,17,12,11,1976,53914.11,yes
